module,duration,starttime,endtime,instructors,token,in deck?,in book?,in_deck,in_book,store_dur,store_start,store_end
DAY ONE,,,,,,,,,,,,
Training Welcome,10,6:10 PM,6:20 PM,MR/BD,intro-welcome,√,√,TRUE,TRUE,,,
People Intro,25,6:20 PM,6:45 PM,MR/BD,intro-people,√,,TRUE,FALSE,,,
Action Medical Intro,10,6:45 PM,6:55 PM,MR,intro-action-medical,√,√,TRUE,TRUE,,,
Street Medic Ops Intro,15,6:55 PM,7:10 PM,MR,street-medic-ops-intro,√,√,TRUE,TRUE,,,
First Aid Intro,10,6:55 PM,7:05 PM,DP,intro-first-aid,√,√,TRUE,TRUE,,,
Scene Assessment,15,7:10 PM,7:25 PM,MR,scene-assessment,√,√,TRUE,TRUE,,,
Practical: Scene Assessment,15,7:25 PM,7:40 PM,MR,practical-scene-assessment,√,,TRUE,FALSE,,,
Break,10,7:40 PM,7:50 PM,MR,break,√,,TRUE,FALSE,,,
Consent,15,7:50 PM,8:05 PM,DP,consent,√,√,TRUE,TRUE,,,
Practical: Consent,10,8:05 PM,8:15 PM,DP,practical-consent,√,,TRUE,FALSE,,,
Body Substance Isolation,5,8:15 PM,8:20 PM,JB,body-substance-isolation,√,√,TRUE,TRUE,,,
Practical: BSI,5,8:20 PM,8:25 PM,JB,practical-bsi,√,,TRUE,FALSE,,,
Initial Assessment Intro,10,8:25 PM,8:35 PM,BD,ia-initial-assessment-intro,√,√,TRUE,TRUE,,,
IA Mechanism of Injury,10,8:35 PM,8:45 PM,DP,ia-mechanism-of-injury,√,√,TRUE,TRUE,,,
Practical: C-Spine,15,8:45 PM,9:00 PM,DP,practical-c-spine,√,,TRUE,FALSE,,,
IA Mental Status,10,9:00 PM,9:10 PM,JB,ia-mental-status,√,√,TRUE,TRUE,,,
Practical: Mental Status,15,9:10 PM,9:25 PM,JB,practical-mental-status,√,,TRUE,FALSE,,,
Jail & Jail Support,15,9:25 PM,9:40 PM,MR,jail-jail-support,√,√,TRUE,TRUE,,,
Day 1 Wrapup,10,9:40 PM,9:50 PM,MR/BD,day-1-wrapup,√,,TRUE,FALSE,,,
,,,,,,,,,,,,
Day One Total (Hours):,3.8,,,,,√,,TRUE,FALSE,,,
Instructors Meeting,15,1:30 PM,1:45 PM,,,√,,TRUE,FALSE,,,
DAY TWO,,,,,,,,,,,,
Day 2 Opening,15,9:15 AM,9:30 AM,MR/BD,day-2-opening,√,,TRUE,FALSE,,,
IA Airway,25,9:30 AM,9:55 AM,MR/BD,ia-airway,√,√,TRUE,TRUE,,,
IA Breathing,10,9:55 AM,10:05 AM,MR/BD,ia-breathing,√,√,TRUE,TRUE,,,
Practical: Airway & Breathing Check,20,10:05 AM,10:25 AM,DP,practical-airway-breathing-check,√,,TRUE,FALSE,,,
IA Circulation,40,10:25 AM,11:05 AM,MR/BD,ia-circulation,√,√,TRUE,TRUE,,,
Break,15,11:05 AM,11:20 AM,MR/BD,break,√,,TRUE,FALSE,,,
IA Disability & Environment,10,11:20 AM,11:30 AM,BD,ia-disability-environment,√,√,TRUE,TRUE,,,
Practical: Lifts & Carries,20,11:30 AM,11:50 AM,BD,practical-lifts-carries,√,,TRUE,FALSE,,,
Break - Lunch,50,11:50 AM,12:40 PM,,break,√,,TRUE,FALSE,,,
Secondary Assessment,25,12:40 PM,1:05 PM,MR/BD,secondary-assessment,√,√,TRUE,TRUE,,,
Scenario (Assessment Posts),40,1:05 PM,1:45 PM,MR/BD,scenario-assessment-posts,√,,TRUE,FALSE,,,
Bleeding & Shock,30,1:45 PM,2:15 PM,MR/BD,bleeding-shock,√,√,TRUE,TRUE,,,
Practical: Bleeding & Shock,20,2:15 PM,2:35 PM,MR/BD,practical-bleeding-shock,√,,TRUE,FALSE,,,
Soft Tissue Injuries,20,2:35 PM,2:55 PM,MR,injuries-soft-tissue,√,√,TRUE,TRUE,,,
Head Injuries,15,2:55 PM,3:10 PM,DP,injuries-head,√,√,TRUE,TRUE,,,
Break,10,3:10 PM,3:20 PM,,break,√,,TRUE,FALSE,,,
Cold Weather Ailments,10,3:20 PM,3:30 PM,DP,weather-ailments-cold,√,√,TRUE,TRUE,,,
Hot Weather Ailments,10,3:30 PM,3:40 PM,DP,weather-ailments-hot,√,√,TRUE,TRUE,,,
Break,5,3:40 PM,3:45 PM,,break,√,,TRUE,FALSE,,,
Scenario (Aftermath Round Robin),40,3:45 PM,4:25 PM,,scenario-mass-casualties,√,,TRUE,FALSE,,,
Musculoskeletal Injuries,45,4:25 PM,5:10 PM,MR,injuries-musculoskeletal,√,√,TRUE,TRUE,,,
Practical: Basic Splinting,20,5:10 PM,5:30 PM,MR,practical-splinting-basic,√,√,TRUE,TRUE,,,
Police Tactics & Weapons,25,5:30 PM,5:55 PM,D,police-tactics-weapons,√,√,TRUE,TRUE,,,
Chemical Weapons,15,5:55 PM,6:10 PM,D,chemical-weapons,√,√,TRUE,TRUE,,,
Practical: Eye Flush,30,6:10 PM,6:40 PM,MR/BD,practical-eye-flush,√,,TRUE,FALSE,,,
Day 2 Wrapup,15,6:40 PM,6:55 PM,MR/BD,day-2-wrapup,√,,TRUE,FALSE,,,
Day Two Total (Hours):,9.4,,,,,,,,,,,
DAY THREE,,,,,,,,,,,,
Instructors Meeting,30,12:30 PM,1:00 PM,,,,,,,,,
Day 3 Opening,5,1:00 PM,1:05 PM,,day-3-opening,√,,TRUE,FALSE,,,
Street Medic Ops (Advanced),15,1:00 PM,1:15 PM,BD,street-medic-ops-advanced,√,√,TRUE,TRUE,,,
Special Injuries,30,1:05 PM,1:35 PM,MR,injuries-special,√,√,TRUE,TRUE,,,
Mass Casualty Incidents,10,1:15 PM,1:25 PM,BD,mci,√,√,TRUE,TRUE,,,
Scenario (Chem Weapons),40,1:35 PM,2:15 PM,BD,scenario-chem-weapons,√,,TRUE,FALSE,,,
Break,20,2:15 PM,2:35 PM,,break,√,,TRUE,FALSE,,,
Respiratory Emergencies,15,2:35 PM,2:50 PM,DP,medical-respiratory,√,√,TRUE,TRUE,,,
Fainting & Seizures,20,2:50 PM,3:10 PM,C/BD,medical-fainting-seizures,√,√,TRUE,TRUE,,,
Diabetic Emergencies,10,3:10 PM,3:20 PM,BD,medical-diabetic,√,√,TRUE,TRUE,,,
Street Medic Philosophy & Organizing,10,3:20 PM,3:30 PM,BD,street-medic-philosophy-organizing,√,√,TRUE,TRUE,,,
Local Street Medic Organizing,10,3:30 PM,3:40 PM,NYCAM,street-medic-organizing-local,√,√,TRUE,TRUE,,,
Street Medic Mental Health,10,3:40 PM,3:50 PM,BD,street-medic-mental-health,√,√,TRUE,TRUE,,,
Street Medic Gear,10,3:50 PM,4:00 PM,BD,street-medic-gear,√,√,TRUE,TRUE,,,
Break - Light Meal,40,4:00 PM,4:40 PM,,break,√,,TRUE,FALSE,,,
Scenario (Wake Up),40,4:40 PM,5:20 PM,BD,scenario-wake-up,√,,TRUE,FALSE,,,
Scenario (Final Event),40,5:20 PM,6:00 PM,BD,scenario-wake-up,√,,TRUE,FALSE,,,
Day 3 Wrapup,15,6:00 PM,6:15 PM,MR/BD/DP,day-3-wrapup,√,,TRUE,FALSE,,,
,,,,,,,,,,,,
Day Three Total (Hours):,5.7,,,,,,,,,,,